IdCursosSocios,IdCurso,idSocio,Activo,Termino
760,184,4590,True,False
761,184,4488,True,False
762,184,4674,True,False
763,184,5015,True,False
764,184,4336,True,False
765,184,5011,True,False
766,184,5013,True,False
767,184,4424,True,False
768,184,3836,True,False
769,184,3921,True,False
770,184,4338,True,False
771,184,2846,True,False
772,184,4649,True,False
773,184,5014,True,False
774,184,5012,True,False
775,184,4838,True,False
776,184,5009,True,False
777,184,4723,True,False
778,184,2696,True,False
779,184,4148,True,False
780,183,5008,True,False
781,183,5027,True,False
782,184,4526,True,False
783,184,5029,True,False
784,184,5028,True,False
785,185,5113,True,False
786,185,4338,True,False
787,185,4424,True,False
788,185,3185,True,False
789,185,4332,True,False
790,185,4842,True,False
791,185,5007,True,False
792,185,4526,True,False
793,185,4227,True,False
794,186,5142,True,False
795,186,5138,True,False
796,186,5144,True,False
797,186,4679,True,False
798,186,5140,True,False
799,186,5141,True,False
800,186,5135,True,False
801,186,5136,True,False
802,186,5137,True,False
803,186,5143,True,False
804,186,5007,True,False
805,186,3935,True,False
806,186,3825,False,False
807,186,5010,True,False
808,187,2846,True,False
809,187,4526,True,False
810,187,4812,True,False
811,187,4424,True,False
812,187,3082,True,False
813,187,4632,True,False
814,187,3062,True,False
815,186,5146,True,False
816,186,5147,True,False
817,186,5148,True,False
818,186,4656,True,False
819,186,5139,True,False
820,188,5138,True,False
821,188,4252,True,False
822,188,4812,True,False
823,188,4674,True,False
824,188,4590,True,False
825,188,5150,True,False
826,188,5152,True,False
827,188,3658,True,False
828,188,5155,True,False
829,188,5149,True,False
830,188,4434,True,False
831,188,5056,True,False
832,188,4632,True,False
833,188,5154,True,False
834,188,5046,True,False
835,186,4329,True,False
836,186,5145,True,False
837,186,5158,True,False
838,185,4489,True,False
839,185,5126,True,False
840,188,5162,True,False
841,188,5159,True,False
842,189,2846,True,False
843,189,4842,True,False
844,189,3658,True,False
845,189,5261,True,False
846,189,4306,True,False
847,189,5252,True,False
848,189,4600,True,False
849,189,5262,True,False
850,190,3546,True,False
851,190,3769,True,False
852,190,5162,True,False
853,190,5115,True,False
854,190,3836,True,False
855,190,4436,True,False
856,190,4227,True,False
857,190,2998,True,False
858,189,5260,True,False
859,189,4674,True,False
860,189,5259,True,False
861,189,2563,True,False
862,189,5316,True,False
863,191,4812,True,False
864,191,4653,True,False
865,191,5519,True,False
866,191,5514,True,False
867,191,5524,True,False
868,191,4489,True,False
869,191,5517,True,False
870,191,5282,True,False
871,191,5527,True,False
872,191,4563,True,False
873,191,4896,True,False
874,191,4759,True,False
875,191,5428,True,False
876,191,5521,True,False
877,191,5523,True,False
878,191,5518,True,False
879,191,5522,True,False
880,192,5533,True,False
881,192,5001,True,False
882,192,5584,True,False
883,192,5046,True,False
884,192,4798,True,False
885,192,5579,True,False
886,192,5588,True,False
887,192,3769,True,False
888,193,5116,True,False
889,193,3577,True,False
890,193,3852,True,False
891,193,5604,True,False
892,193,5601,True,False
893,193,5599,True,False
894,193,5603,True,False
895,193,5600,True,False
896,193,5602,True,False
897,193,3576,True,False
898,193,5162,True,False
899,193,4998,True,False
900,193,5597,True,False
901,193,5472,True,False
902,193,5615,True,False
903,194,5519,True,False
904,194,5610,True,False
905,194,5609,True,False
906,194,5126,True,False
907,194,5617,True,False
908,194,5613,True,False
909,194,5619,True,False
910,194,5611,True,False
911,194,5612,True,False
912,194,5614,True,False
913,194,5608,True,False
914,194,5605,True,False
915,194,5606,True,False
916,194,5607,True,False
917,194,4923,True,False
918,194,5620,True,False
919,194,4527,True,False
920,194,5616,True,False
921,195,4674,True,False
922,195,5600,True,False
923,196,2998,True,False
924,196,5719,True,False
925,196,5718,True,False
926,196,2846,True,False
927,196,2859,True,False
928,196,3546,True,False
929,196,3656,True,False
930,196,3836,True,False
931,196,3498,True,False
932,197,4252,True,False
933,197,5711,True,False
934,197,3852,True,False
935,197,4452,True,False
936,198,5937,True,False
937,198,5919,True,False
938,198,5924,True,False
939,198,5926,True,False
940,198,5927,True,False
941,198,5932,True,False
942,198,5884,True,False
943,198,5920,True,False
944,198,5918,True,False
945,198,5935,True,False
946,198,5934,True,False
947,198,5936,True,False
948,198,5928,True,False
949,198,5922,True,False
950,198,5938,True,False
951,198,5925,True,False
952,198,5931,True,False
953,198,5921,True,False
954,198,5929,True,False
955,198,5923,True,False
956,198,5933,True,False
957,199,5840,True,False
958,199,5842,True,False
959,199,5836,True,False
960,199,5843,True,False
961,199,5847,True,False
962,199,5844,True,False
963,199,5845,True,False
964,199,5848,True,False
965,199,5839,True,False
966,199,5846,True,False
967,199,5838,True,False
968,199,5837,True,False
969,200,5982,True,False
970,200,5986,True,False
971,200,5931,True,False
972,200,5852,True,False
973,200,5994,True,False
974,200,4885,True,False
975,200,5981,True,False
976,200,5974,True,False
977,200,5975,True,False
978,200,5969,True,False
979,200,5162,True,False
980,200,5970,True,False
981,200,5942,True,False
982,200,5860,True,False
983,200,5980,True,False
984,200,5979,True,False
985,200,5978,True,False
986,200,5972,True,False
987,200,5973,True,False
988,200,5848,True,False
989,200,5600,True,False
990,200,5976,True,False
991,200,5977,True,False
992,200,5277,True,False
993,200,5609,True,False
994,200,2859,True,False
995,200,3836,True,False
996,200,2998,True,False
997,200,5515,True,False
998,201,5988,True,False
999,201,5987,True,False
1000,201,5992,True,False
1001,201,5993,True,False
1002,201,5990,True,False
1003,201,5991,True,False
1004,201,5472,True,False
1005,201,5996,True,False
1006,201,5845,True,False
1007,201,5983,True,False
1008,201,5838,True,False
1009,201,5995,True,False
1010,201,3032,True,False
1011,201,5984,True,False
1012,201,5989,True,False
1013,201,5842,True,False
1014,201,5847,True,False
1015,201,5834,True,False
1016,201,5602,True,False
1017,201,5985,True,False
1018,201,5839,True,False
1019,202,6013,True,False
1020,202,5855,True,False
1021,202,6008,True,False
1022,202,6007,True,False
1023,202,6005,True,False
1024,202,5517,True,False
1025,202,5998,True,False
1026,202,6006,True,False
1027,202,6003,True,False
1028,202,6010,True,False
1029,202,6000,True,False
1030,202,5046,True,False
1031,202,5999,True,False
1032,202,6015,True,False
1033,202,6011,True,False
1034,202,6004,True,False
1035,202,6001,True,False
1036,202,5845,True,False
1037,202,5847,True,False
1038,202,6017,True,False
1039,200,5519,True,False
1040,201,6020,True,False
1041,201,4658,True,False
1042,201,3546,True,False
1043,200,5971,True,False
1044,197,6022,True,False
1045,197,6023,True,False
1046,197,6025,True,False
1047,197,6030,True,False
1048,197,6024,True,False
1049,197,6026,True,False
1050,197,6027,True,False
1051,197,5710,True,False
1052,197,5733,True,False
1053,197,5990,True,False
1054,197,6034,True,False
1055,197,4808,True,False
1056,197,5734,True,False
1057,201,4674,True,False
1058,202,6052,True,False
1059,202,6053,True,False
