IdCompaniaCelular,Nombre,Usuario,FhUltModif
116,Arquitectura espacios 3D,2012-08-01 00:00:00,2015-10-01 00:00:00
117,Arquitectura y perspectivas,2012-10-01 00:00:00,2015-10-01 00:00:00
118,Animación en 180º,2012-10-01 00:00:00,2015-10-01 00:00:00
119,Dibujo de personajes,2012-10-01 00:00:00,2015-10-01 00:00:00
120,Taller de videojuegos.,2013-01-01 00:00:00,2015-10-01 00:00:00
121,Motion Graphics,2013-01-01 00:00:00,2015-10-01 00:00:00
122,Intro a la animación,2013-01-01 00:00:00,2015-10-01 00:00:00
123,Curso Dibujo personajes,2013-01-01 00:00:00,2015-10-01 00:00:00
124,Taller Diseño de pag web.,2013-01-01 00:00:00,2015-10-01 00:00:00
125,Taller de Stencil,2013-01-01 00:00:00,2015-10-01 00:00:00
126,Taller 3D Studio,2013-01-01 00:00:00,2015-10-01 00:00:00
127,Taller de Diseño de accesorios,2013-02-01 00:00:00,2015-10-01 00:00:00
128,Taller Diseño Publicitario,2013-03-01 00:00:00,2015-10-01 00:00:00
129,Taller de Diseño para dispositivos,2013-04-01 00:00:00,2015-10-01 00:00:00
130,Clínica de Dibujo,2013-04-01 00:00:00,2015-10-01 00:00:00
131,Taller de Cine Documental,2013-04-01 00:00:00,2015-10-01 00:00:00
132,Dibujo de zombies,2013-04-01 00:00:00,2015-10-01 00:00:00
133,Taller de poderes en After,2013-04-01 00:00:00,2015-10-01 00:00:00
134,Curso Matte Paint,2013-05-01 00:00:00,2015-09-22 00:00:00
135,Robótica,2013-05-01 00:00:00,2013-12-01 00:00:00
136,Taller de Collage 3D,2013-07-01 00:00:00,2015-10-01 00:00:00
137,Taller de Web,2013-07-01 00:00:00,2015-10-01 00:00:00
138,Taller fondos para  titeres digitales,2013-07-01 00:00:00,2015-10-01 00:00:00
139,Curso Producción musical,2013-07-01 00:00:00,2015-10-01 00:00:00
140,Taller Videoclip Plano Secuencia,2013-07-01 00:00:00,2015-10-01 00:00:00
141,Curso Video Historieta,2013-07-01 00:00:00,2015-10-01 00:00:00
142,Taller fotografia estenopeica,2013-07-01 00:00:00,2015-10-01 00:00:00
143,videohistorieta avanzado,2013-09-01 00:00:00,2015-10-01 00:00:00
144,Pro mapping 3D,2013-09-01 00:00:00,2015-10-01 00:00:00
145,Motion Capture,2013-09-01 00:00:00,2015-10-01 00:00:00
146,Producción musical para evento en vivo,2013-10-01 00:00:00,2015-10-01 00:00:00
147,Ilustración de cuentos Cortos,2014-01-08 00:00:00,2014-02-06 00:00:00
148,FOTOGRAFIA,2014-01-06 00:00:00,2014-08-06 00:00:00
149,Animación 3d,2014-01-14 00:00:00,2014-01-31 00:00:00
150,juegos ,2014-01-09 00:00:00,2014-01-31 00:00:00
151,Foto Arte,2014-01-14 00:00:00,2014-08-06 00:00:00
152,taller de efectos especiales,2014-01-21 00:00:00,2014-02-06 00:00:00
153,Personajes 3D,2014-02-04 00:00:00,2015-01-14 00:00:00
154,TALLE DE ARTE URBANO DIGITAL,2014-02-11 00:00:00,2015-10-01 00:00:00
155,Fotografía tarde,2014-02-06 00:00:00,2015-01-14 00:00:00
156,Taller de Animación,2014-03-21 00:00:00,2015-01-14 00:00:00
157,Producción de video,2014-03-11 00:00:00,2015-05-05 00:00:00
158,arquitectura 3d,2014-03-17 00:00:00,2014-08-06 00:00:00
159,Diseño Grafico e Ilustracion Publicitaria,2014-03-17 00:00:00,2014-08-06 00:00:00
160,PRODUCCION MUSICAL 2014,2014-03-19 00:00:00,2015-09-22 00:00:00
161,PRODUCCION. MONTAJE,2014-06-03 00:00:00,2015-01-14 00:00:00
162,FOTOGRAFIA-INTRO,2014-06-03 00:00:00,2014-08-06 00:00:00
163,.NET,2014-06-03 00:00:00,2015-01-14 00:00:00
164,Modelado 3D para impresión ,2014-06-19 00:00:00,2015-01-14 00:00:00
165,FOTOGRAFIA 2,2014-08-05 00:00:00,2015-01-14 00:00:00
166,MOTION GRAPHICS +18,2014-10-01 00:00:00,2015-05-05 00:00:00
167,GUION -PA,2014-10-02 00:00:00,2015-01-14 00:00:00
168,HTML 5,2014-10-01 00:00:00,2015-05-05 00:00:00
169,ARQ.3D V2,2014-10-02 00:00:00,2015-01-14 00:00:00
170,UBICUA ,,2015-05-05 00:00:00
171,FOTO 2015,2015-01-12 00:00:00,2015-05-05 00:00:00
172,EFECTOS ESPECIALES,2015-04-23 00:00:00,2015-09-22 00:00:00
173,ILUSTRACION PUBLICITARIA,2015-05-05 00:00:00,2015-09-22 00:00:00
174,CORTOS,2015-05-04 00:00:00,2015-09-22 00:00:00
175,Modelado para impresion,2015-08-08 00:00:00,2017-08-10 00:00:00
176,.net CIT,2015-09-21 00:00:00,2017-08-10 00:00:00
177,Trafikker,2015-09-15 00:00:00,2017-08-10 00:00:00
178,ARQUITECTURA3D 2015,2015-09-18 00:00:00,2017-08-10 00:00:00
179,DISEÑOGRAFICOWEB,2015-10-01 00:00:00,2017-08-10 00:00:00
180,Conf. Software,2015-09-29 00:00:00,2017-08-10 00:00:00
181,Community Manager,2015-10-05 00:00:00,2017-08-10 00:00:00
182,Creación Musical,2015-10-29 00:00:00,2017-08-10 00:00:00
183,Arquitectura 3D 2016,2016-01-11 00:00:00,2017-08-10 00:00:00
184,Foto2016,2016-01-12 00:00:00,2017-08-10 00:00:00
185,UX,2016-03-15 00:00:00,2017-08-10 00:00:00
186,CM 2016,2016-04-04 00:00:00,2017-08-10 00:00:00
187,Creatividad16,2016-04-04 00:00:00,2017-08-10 00:00:00
188,PA 2016,2016-04-05 00:00:00,2017-08-10 00:00:00
189,Efectos visuales en video,2016-05-11 00:00:00,2017-08-10 00:00:00
190,HTML5,2016-06-09 00:00:00,2017-08-10 00:00:00
191,CM SAP,2016-10-05 00:00:00,2017-08-10 00:00:00
192,Sonido verano 2016,2017-01-05 00:00:00,2017-08-10 00:00:00
193,Arte y Electrónica 17,2017-01-10 00:00:00,2017-06-22 00:00:00
194,Foto Enero 17,2017-01-10 00:00:00,2017-08-01 00:00:00
195,DG Papa /2017,2017-06-06 00:00:00,2017-08-01 00:00:00
196,UX /2017,2017-06-06 00:00:00,2017-08-01 00:00:00
197,PAV Montaje /2017,2017-06-02 00:00:00,
198,Java/ComunidadIT,2017-07-03 00:00:00,
199,Marketing Digital /17,2017-06-02 00:00:00,2017-08-01 00:00:00
200,DG Cerliani /17,2017-08-01 00:00:00,
201,Fotografía Cicchini /17,2017-08-01 00:00:00,
202,PAVI Maivan /17,2017-08-02 00:00:00,
203,MKT OCT/17,2017-10-02 00:00:00,
204,Ilustración Cerliani/17,2017-11-02 00:00:00,
205,Motion Graphics /18,2018-01-12 00:00:00,
206,Front End /18,2018-01-16 00:00:00,
207,Diseño de vestuario /18,2018-01-10 00:00:00,
208,Diseño UX/18,2018-02-20 00:00:00,
209,Creatividad/18,2018-03-01 00:00:00,
210,MKT Digital/18,2018-03-02 00:00:00,
211,PAVI/18,2018-04-04 00:00:00,
212,Front End/mayo 218,2018-05-08 00:00:00,
213,Fotografía mayo/2018,2018-05-04 00:00:00,
214,back end julio 2018,2018-07-06 00:00:00,
215,Branding julio 2018,2018-07-03 00:00:00,
216,PAVI avanzado julio 2018,2018-07-04 00:00:00,
217,Dirección de arte para fotografía,2018-10-02 00:00:00,
218,Post Producción 2018,2018-10-05 00:00:00,
219,Diseño Gráfico + Maquetación web 2018,2018-11-06 00:00:00,
220,Diseño Grafico - PA2019,2019-08-08 00:00:00,
221,Animacion - PA2019,2019-07-18 00:00:00,
222,Prueba,2019-12-17 00:00:00,2019-12-21 00:00:00
223,Verano2020,2019-12-21 00:00:00,
