IdCursosSociosPresentes,IdCurso,idSocio,FechaPresente
278,2,3919,2013-08-12 00:00:00
279,2,3747,2013-08-12 00:00:00
280,2,3501,2013-08-09 00:00:00
281,2,2633,2013-08-09 00:00:00
282,2,3920,2013-08-09 00:00:00
283,2,3819,2013-08-09 00:00:00
284,2,3921,2013-08-09 00:00:00
285,2,2741,2013-08-09 00:00:00
286,2,3936,2013-08-09 00:00:00
287,2,3935,2013-08-09 00:00:00
288,2,3919,2013-08-09 00:00:00
289,2,3747,2013-08-09 00:00:00
290,5,2846,2013-08-31 00:00:00
291,5,3299,2013-08-31 00:00:00
292,5,3514,2013-08-31 00:00:00
293,5,2950,2013-08-31 00:00:00
294,5,3053,2013-08-31 00:00:00
295,5,3286,2013-08-31 00:00:00
296,5,2619,2013-08-31 00:00:00
297,5,3435,2013-08-31 00:00:00
298,5,3656,2013-08-31 00:00:00
299,5,3735,2013-08-31 00:00:00
300,5,3804,2013-08-31 00:00:00
301,5,3388,2013-08-31 00:00:00
302,5,3546,2013-08-31 00:00:00
303,5,2846,2013-08-24 00:00:00
304,5,3299,2013-08-24 00:00:00
305,5,3514,2013-08-24 00:00:00
306,5,2950,2013-08-24 00:00:00
307,5,3053,2013-08-24 00:00:00
308,5,3286,2013-08-24 00:00:00
309,5,2619,2013-08-24 00:00:00
310,5,3435,2013-08-24 00:00:00
311,5,3656,2013-08-24 00:00:00
312,5,3735,2013-08-24 00:00:00
313,5,3804,2013-08-24 00:00:00
314,5,3388,2013-08-24 00:00:00
315,5,3546,2013-08-24 00:00:00
316,5,3553,2013-08-24 00:00:00
317,5,3425,2013-08-24 00:00:00
318,5,3769,2013-08-24 00:00:00
319,3,2577,2013-08-28 00:00:00
320,3,3386,2013-08-28 00:00:00
321,3,3323,2013-08-28 00:00:00
322,3,3580,2013-08-28 00:00:00
323,3,3518,2013-08-28 00:00:00
324,3,3576,2013-08-28 00:00:00
325,3,2577,2013-08-21 00:00:00
326,3,3386,2013-08-21 00:00:00
327,3,3580,2013-08-21 00:00:00
328,3,3822,2013-08-21 00:00:00
329,3,3518,2013-08-21 00:00:00
330,3,3576,2013-08-21 00:00:00
331,3,3587,2013-08-21 00:00:00
332,3,2577,2013-08-07 00:00:00
333,3,3386,2013-08-07 00:00:00
334,3,3323,2013-08-07 00:00:00
335,3,3580,2013-08-07 00:00:00
336,3,3822,2013-08-07 00:00:00
337,3,3518,2013-08-07 00:00:00
338,3,3576,2013-08-07 00:00:00
339,3,3583,2013-08-07 00:00:00
340,3,3884,2013-08-07 00:00:00
341,5,3758,2013-08-31 00:00:00
342,4,3942,2013-09-03 00:00:00
343,4,3286,2013-09-03 00:00:00
344,4,2597,2013-09-03 00:00:00
345,4,3501,2013-09-03 00:00:00
346,4,3750,2013-09-03 00:00:00
347,4,3667,2013-09-03 00:00:00
348,4,3529,2013-09-03 00:00:00
349,4,3390,2013-09-03 00:00:00
350,4,2716,2013-09-03 00:00:00
351,4,3921,2013-09-03 00:00:00
352,4,3747,2013-09-03 00:00:00
353,4,3936,2013-09-03 00:00:00
354,4,3935,2013-09-03 00:00:00
355,2,3501,2013-09-02 00:00:00
356,2,2633,2013-09-02 00:00:00
357,2,3921,2013-09-02 00:00:00
358,2,3936,2013-09-02 00:00:00
359,2,3935,2013-09-02 00:00:00
360,2,3919,2013-09-02 00:00:00
361,2,3747,2013-09-02 00:00:00
362,2,3940,2013-09-02 00:00:00
363,2,3501,2013-09-04 00:00:00
364,2,2633,2013-09-04 00:00:00
365,2,3920,2013-09-04 00:00:00
366,2,3921,2013-09-04 00:00:00
367,2,2741,2013-09-04 00:00:00
368,2,3936,2013-09-04 00:00:00
369,2,3935,2013-09-04 00:00:00
370,2,3919,2013-09-04 00:00:00
371,2,3747,2013-09-04 00:00:00
372,2,3940,2013-09-04 00:00:00
373,1,2978,2013-09-09 00:00:00
374,1,3062,2013-09-09 00:00:00
375,1,3073,2013-09-09 00:00:00
376,1,3913,2013-09-09 00:00:00
377,1,3911,2013-09-09 00:00:00
378,1,3407,2013-09-09 00:00:00
379,1,3836,2013-09-09 00:00:00
380,1,3909,2013-09-09 00:00:00
381,1,3912,2013-09-09 00:00:00
382,1,3915,2013-09-09 00:00:00
383,1,3925,2013-09-09 00:00:00
384,1,3926,2013-09-09 00:00:00
385,1,3927,2013-09-09 00:00:00
386,2,3501,2013-09-09 00:00:00
387,2,2633,2013-09-09 00:00:00
388,2,3921,2013-09-09 00:00:00
389,2,2741,2013-09-09 00:00:00
390,2,3936,2013-09-09 00:00:00
391,2,3935,2013-09-09 00:00:00
392,2,3919,2013-09-09 00:00:00
393,2,3747,2013-09-09 00:00:00
394,2,3940,2013-09-09 00:00:00
395,2,3501,2013-09-11 00:00:00
396,2,2633,2013-09-11 00:00:00
397,2,3921,2013-09-11 00:00:00
398,2,3936,2013-09-11 00:00:00
